,origin,context,perturb_type,perturb_size,perturb_sign,n,asyn,baseline_pre,baseline_post
0,combPSneg20,comb,PS,20,neg,-5,1.9536283891547053,0.08685539606592227,1.3376156299840507
1,combPSneg20,comb,PS,20,neg,-4,0.7492158426368952,0.08685539606592227,1.3376156299840507
2,combPSneg20,comb,PS,20,neg,-3,0.31178894205209984,0.08685539606592227,1.3376156299840507
3,combPSneg20,comb,PS,20,neg,-2,-0.23100744284954847,0.08685539606592227,1.3376156299840507
4,combPSneg20,comb,PS,20,neg,-1,-2.3493487506645403,0.08685539606592227,1.3376156299840507
5,combPSneg20,comb,PS,20,neg,0,20.008280170122276,0.08685539606592227,1.3376156299840507
6,combPSneg20,comb,PS,20,neg,1,7.1169989367357775,0.08685539606592227,1.3376156299840507
7,combPSneg20,comb,PS,20,neg,2,3.485712387028176,0.08685539606592227,1.3376156299840507
8,combPSneg20,comb,PS,20,neg,3,2.1946969696969694,0.08685539606592227,1.3376156299840507
9,combPSneg20,comb,PS,20,neg,4,3.2494284954811263,0.08685539606592227,1.3376156299840507
10,combPSneg20,comb,PS,20,neg,5,0.7530170122275385,0.08685539606592227,1.3376156299840507
11,combPSneg20,comb,PS,20,neg,6,4.036988304093566,0.08685539606592227,1.3376156299840507
12,combPSneg20,comb,PS,20,neg,7,3.780635300372143,0.08685539606592227,1.3376156299840507
13,combPSneg20,comb,PS,20,neg,8,1.8029372674109512,0.08685539606592227,1.3376156299840507
14,combPSneg20,comb,PS,20,neg,9,0.8362971823498138,0.08685539606592227,1.3376156299840507
15,combPSneg20,comb,PS,20,neg,10,1.1837187666135034,0.08685539606592227,1.3376156299840507
16,combPSneg20,comb,PS,20,neg,11,-0.9155103668261563,0.08685539606592227,1.3376156299840507
17,combPSneg50,comb,PS,50,neg,-5,-1.271703142536476,0.0818658810325478,-1.2102048260381593
18,combPSneg50,comb,PS,50,neg,-4,-0.8142957351290682,0.0818658810325478,-1.2102048260381593
19,combPSneg50,comb,PS,50,neg,-3,1.4506874298540966,0.0818658810325478,-1.2102048260381593
20,combPSneg50,comb,PS,50,neg,-2,0.47324635241301927,0.0818658810325478,-1.2102048260381593
21,combPSneg50,comb,PS,50,neg,-1,0.5713945005611674,0.0818658810325478,-1.2102048260381593
