,origin,context,perturb_type,perturb_size,perturb_sign,n,asyn,baseline_pre,baseline_post
136,purePSneg20,pure,PS,20,neg,-5,-2.4806902356902354,0.8272895622895623,-1.2101245791245792
137,purePSneg20,pure,PS,20,neg,-4,2.2789057239057238,0.8272895622895623,-1.2101245791245792
138,purePSneg20,pure,PS,20,neg,-3,0.9969865319865321,0.8272895622895623,-1.2101245791245792
139,purePSneg20,pure,PS,20,neg,-2,1.9021380471380473,0.8272895622895623,-1.2101245791245792
140,purePSneg20,pure,PS,20,neg,-1,1.439107744107744,0.8272895622895623,-1.2101245791245792
141,purePSneg20,pure,PS,20,neg,0,16.386784511784512,0.8272895622895623,-1.2101245791245792
142,purePSneg20,pure,PS,20,neg,1,9.188097643097644,0.8272895622895623,-1.2101245791245792
143,purePSneg20,pure,PS,20,neg,2,3.506986531986532,0.8272895622895623,-1.2101245791245792
144,purePSneg20,pure,PS,20,neg,3,2.9182996632996634,0.8272895622895623,-1.2101245791245792
145,purePSneg20,pure,PS,20,neg,4,0.3724410774410769,0.8272895622895623,-1.2101245791245792
146,purePSneg20,pure,PS,20,neg,5,2.882946127946128,0.8272895622895623,-1.2101245791245792
147,purePSneg20,pure,PS,20,neg,6,0.8591077441077442,0.8272895622895623,-1.2101245791245792
148,purePSneg20,pure,PS,20,neg,7,0.5107239057239056,0.8272895622895623,-1.2101245791245792
149,purePSneg20,pure,PS,20,neg,8,-1.3562457912457915,0.8272895622895623,-1.2101245791245792
150,purePSneg20,pure,PS,20,neg,9,-1.5569528619528619,0.8272895622895623,-1.2101245791245792
151,purePSneg20,pure,PS,20,neg,10,-2.791296296296296,0.8272895622895623,-1.2101245791245792
152,purePSneg20,pure,PS,20,neg,11,-0.8568518518518519,0.8272895622895623,-1.2101245791245792
153,purePSneg50,pure,PS,50,neg,-5,-0.43899410774410785,-0.26186658249158246,-0.9593855218855216
154,purePSneg50,pure,PS,50,neg,-4,0.828146043771044,-0.26186658249158246,-0.9593855218855216
155,purePSneg50,pure,PS,50,neg,-3,-0.6620686026936026,-0.26186658249158246,-0.9593855218855216
156,purePSneg50,pure,PS,50,neg,-2,0.1667824074074073,-0.26186658249158246,-0.9593855218855216
157,purePSneg50,pure,PS,50,neg,-1,-1.2031986531986532,-0.26186658249158246,-0.9593855218855216
158,purePSneg50,pure,PS,50,neg,0,48.43755260942761,-0.26186658249158246,-0.9593855218855216
159,purePSneg50,pure,PS,50,neg,1,17.806460437710438,-0.26186658249158246,-0.9593855218855216
160,purePSneg50,pure,PS,50,neg,2,8.510248316498316,-0.26186658249158246,-0.9593855218855216
161,purePSneg50,pure,PS,50,neg,3,4.412015993265993,-0.26186658249158246,-0.9593855218855216
162,purePSneg50,pure,PS,50,neg,4,0.25920664983164976,-0.26186658249158246,-0.9593855218855216
163,purePSneg50,pure,PS,50,neg,5,5.482565235690236,-0.26186658249158246,-0.9593855218855216
164,purePSneg50,pure,PS,50,neg,6,2.842287457912458,-0.26186658249158246,-0.9593855218855216
165,purePSneg50,pure,PS,50,neg,7,1.70440867003367,-0.26186658249158246,-0.9593855218855216
166,purePSneg50,pure,PS,50,neg,8,0.2991372053872055,-0.26186658249158246,-0.9593855218855216
167,purePSneg50,pure,PS,50,neg,9,-0.8963489057239056,-0.26186658249158246,-0.9593855218855216
168,purePSneg50,pure,PS,50,neg,10,-1.5915509259259264,-0.26186658249158246,-0.9593855218855216
169,purePSneg50,pure,PS,50,neg,11,-4.312573653198652,-0.26186658249158246,-0.9593855218855216
170,purePSpos20,pure,PS,20,pos,-5,1.5092671506734006,-0.02891466750841747,4.187228009259259
171,purePSpos20,pure,PS,20,pos,-4,0.3550373526936027,-0.02891466750841747,4.187228009259259
172,purePSpos20,pure,PS,20,pos,-3,-1.5102088594276093,-0.02891466750841747,4.187228009259259
173,purePSpos20,pure,PS,20,pos,-2,-0.45476378367003356,-0.02891466750841747,4.187228009259259
174,purePSpos20,pure,PS,20,pos,-1,-0.04390519781144786,-0.02891466750841747,4.187228009259259
175,purePSpos20,pure,PS,20,pos,0,-20.631783985690234,-0.02891466750841747,4.187228009259259
176,purePSpos20,pure,PS,20,pos,1,-12.721556712962963,-0.02891466750841747,4.187228009259259
177,purePSpos20,pure,PS,20,pos,2,-10.15496896043771,-0.02891466750841747,4.187228009259259
178,purePSpos20,pure,PS,20,pos,3,-5.152806712962963,-0.02891466750841747,4.187228009259259
179,purePSpos20,pure,PS,20,pos,4,-1.6681318392255893,-0.02891466750841747,4.187228009259259
180,purePSpos20,pure,PS,20,pos,5,-2.2811053240740744,-0.02891466750841747,4.187228009259259
181,purePSpos20,pure,PS,20,pos,6,-0.32867476851851857,-0.02891466750841747,4.187228009259259
182,purePSpos20,pure,PS,20,pos,7,1.953506418350168,-0.02891466750841747,4.187228009259259
183,purePSpos20,pure,PS,20,pos,8,3.7876131102693607,-0.02891466750841747,4.187228009259259
184,purePSpos20,pure,PS,20,pos,9,5.752228009259259,-0.02891466750841747,4.187228009259259
185,purePSpos20,pure,PS,20,pos,10,5.297461595117846,-0.02891466750841747,4.187228009259259
186,purePSpos20,pure,PS,20,pos,11,4.145330913299663,-0.02891466750841747,4.187228009259259
187,purePSpos50,pure,PS,50,pos,-5,-0.7373302623302624,-0.008034003034003034,6.284019499019498
188,purePSpos50,pure,PS,50,pos,-4,0.5804741554741555,-0.008034003034003034,6.284019499019498
189,purePSpos50,pure,PS,50,pos,-3,-0.6108567358567358,-0.008034003034003034,6.284019499019498
190,purePSpos50,pure,PS,50,pos,-2,-0.04088226588226581,-0.008034003034003034,6.284019499019498
191,purePSpos50,pure,PS,50,pos,-1,0.7684250934250935,-0.008034003034003034,6.284019499019498
192,purePSpos50,pure,PS,50,pos,0,-52.00940818440818,-0.008034003034003034,6.284019499019498
193,purePSpos50,pure,PS,50,pos,1,-12.139317164317164,-0.008034003034003034,6.284019499019498
194,purePSpos50,pure,PS,50,pos,2,-12.20669978169978,-0.008034003034003034,6.284019499019498
195,purePSpos50,pure,PS,50,pos,3,-6.692969067969069,-0.008034003034003034,6.284019499019498
196,purePSpos50,pure,PS,50,pos,4,-4.058697783697783,-0.008034003034003034,6.284019499019498
