,origin,context,perturb_type,perturb_size,perturb_sign,n,asyn,baseline_pre,baseline_post
68,combSCneg20,comb,SC,20,neg,-5,-0.17892255892255932,0.43052693602693565,14.164327441077438
69,combSCneg20,comb,SC,20,neg,-4,0.9606734006734003,0.43052693602693565,14.164327441077438
70,combSCneg20,comb,SC,20,neg,-3,0.6970244107744105,0.43052693602693565,14.164327441077438
71,combSCneg20,comb,SC,20,neg,-2,-0.6276978114478118,0.43052693602693565,14.164327441077438
72,combSCneg20,comb,SC,20,neg,-1,1.3015572390572387,0.43052693602693565,14.164327441077438
73,combSCneg20,comb,SC,20,neg,0,22.11662037037037,0.43052693602693565,14.164327441077438
74,combSCneg20,comb,SC,20,neg,1,28.512125420875417,0.43052693602693565,14.164327441077438
75,combSCneg20,comb,SC,20,neg,2,27.372643097643095,0.43052693602693565,14.164327441077438
76,combSCneg20,comb,SC,20,neg,3,27.746531986531988,0.43052693602693565,14.164327441077438
77,combSCneg20,comb,SC,20,neg,4,24.070117845117842,0.43052693602693565,14.164327441077438
78,combSCneg20,comb,SC,20,neg,5,21.150256734006735,0.43052693602693565,14.164327441077438
79,combSCneg20,comb,SC,20,neg,6,21.340989057239057,0.43052693602693565,14.164327441077438
80,combSCneg20,comb,SC,20,neg,7,16.4991835016835,0.43052693602693565,14.164327441077438
81,combSCneg20,comb,SC,20,neg,8,14.676405723905722,0.43052693602693565,14.164327441077438
82,combSCneg20,comb,SC,20,neg,9,13.191910774410776,0.43052693602693565,14.164327441077438
83,combSCneg20,comb,SC,20,neg,10,12.746809764309763,0.43052693602693565,14.164327441077438
84,combSCneg20,comb,SC,20,neg,11,13.707327441077442,0.43052693602693565,14.164327441077438
85,combSCneg50,comb,SC,50,neg,-5,1.144381313131313,0.7490972222222221,-2.065164141414141
86,combSCneg50,comb,SC,50,neg,-4,-0.30609217171717196,0.7490972222222221,-2.065164141414141
87,combSCneg50,comb,SC,50,neg,-3,0.107638888888889,0.7490972222222221,-2.065164141414141
88,combSCneg50,comb,SC,50,neg,-2,-0.6446338383838384,0.7490972222222221,-2.065164141414141
89,combSCneg50,comb,SC,50,neg,-1,3.444191919191919,0.7490972222222221,-2.065164141414141
90,combSCneg50,comb,SC,50,neg,0,52.14826388888889,0.7490972222222221,-2.065164141414141
91,combSCneg50,comb,SC,50,neg,1,53.241729797979794,0.7490972222222221,-2.065164141414141
92,combSCneg50,comb,SC,50,neg,2,34.80527146464647,0.7490972222222221,-2.065164141414141
93,combSCneg50,comb,SC,50,neg,3,16.024779040404038,0.7490972222222221,-2.065164141414141
94,combSCneg50,comb,SC,50,neg,4,8.618529040404042,0.7490972222222221,-2.065164141414141
95,combSCneg50,comb,SC,50,neg,5,2.461426767676768,0.7490972222222221,-2.065164141414141
96,combSCneg50,comb,SC,50,neg,6,-0.28402777777777793,0.7490972222222221,-2.065164141414141
97,combSCneg50,comb,SC,50,neg,7,1.7875631313131315,0.7490972222222221,-2.065164141414141
98,combSCneg50,comb,SC,50,neg,8,1.0918244949494955,0.7490972222222221,-2.065164141414141
99,combSCneg50,comb,SC,50,neg,9,-3.4641414141414146,0.7490972222222221,-2.065164141414141
100,combSCneg50,comb,SC,50,neg,10,-6.382796717171717,0.7490972222222221,-2.065164141414141
101,combSCneg50,comb,SC,50,neg,11,-3.358270202020203,0.7490972222222221,-2.065164141414141
102,combSCpos20,comb,SC,20,pos,-5,2.0125280583613914,0.3349017957351287,-6.826001683501684
103,combSCpos20,comb,SC,20,pos,-4,1.1830106621773284,0.3349017957351287,-6.826001683501684
104,combSCpos20,comb,SC,20,pos,-3,-1.4596380471380475,0.3349017957351287,-6.826001683501684
105,combSCpos20,comb,SC,20,pos,-2,0.19804994388327676,0.3349017957351287,-6.826001683501684
106,combSCpos20,comb,SC,20,pos,-1,-0.2594416386083057,0.3349017957351287,-6.826001683501684
107,combSCpos20,comb,SC,20,pos,0,-19.2449354657688,0.3349017957351287,-6.826001683501684
108,combSCpos20,comb,SC,20,pos,1,-29.34807800224467,0.3349017957351287,-6.826001683501684
109,combSCpos20,comb,SC,20,pos,2,-28.17537878787879,0.3349017957351287,-6.826001683501684
110,combSCpos20,comb,SC,20,pos,3,-25.830485409652074,0.3349017957351287,-6.826001683501684
111,combSCpos20,comb,SC,20,pos,4,-21.09546857463524,0.3349017957351287,-6.826001683501684
112,combSCpos20,comb,SC,20,pos,5,-17.59959315375982,0.3349017957351287,-6.826001683501684
113,combSCpos20,comb,SC,20,pos,6,-10.15635521885522,0.3349017957351287,-6.826001683501684
114,combSCpos20,comb,SC,20,pos,7,-6.478998316498318,0.3349017957351287,-6.826001683501684
115,combSCpos20,comb,SC,20,pos,8,-6.501865881032549,0.3349017957351287,-6.826001683501684
116,combSCpos20,comb,SC,20,pos,9,-7.470693041526376,0.3349017957351287,-6.826001683501684
117,combSCpos20,comb,SC,20,pos,10,-7.627988215488216,0.3349017957351287,-6.826001683501684
118,combSCpos20,comb,SC,20,pos,11,-6.050462962962963,0.3349017957351287,-6.826001683501684
119,combSCpos50,comb,SC,50,pos,-5,-0.05077861952861933,0.16625420875420902,7.235231481481482
120,combSCpos50,comb,SC,50,pos,-4,-0.07773569023569002,0.16625420875420902,7.235231481481482
121,combSCpos50,comb,SC,50,pos,-3,0.9653198653198656,0.16625420875420902,7.235231481481482
