,origin,context,perturb_type,perturb_size,perturb_sign,n,asyn,baseline_pre,baseline_post
204,pureSCneg20,pure,SC,20,neg,-5,0.3679124579124576,0.7463367003367001,8.635589225589225
205,pureSCneg20,pure,SC,20,neg,-4,0.8960942760942759,0.7463367003367001,8.635589225589225
206,pureSCneg20,pure,SC,20,neg,-3,0.25811447811447796,0.7463367003367001,8.635589225589225
207,pureSCneg20,pure,SC,20,neg,-2,-0.0566329966329968,0.7463367003367001,8.635589225589225
208,pureSCneg20,pure,SC,20,neg,-1,2.266195286195286,0.7463367003367001,8.635589225589225
209,pureSCneg20,pure,SC,20,neg,0,21.056296296296296,0.7463367003367001,8.635589225589225
210,pureSCneg20,pure,SC,20,neg,1,22.220538720538723,0.7463367003367001,8.635589225589225
211,pureSCneg20,pure,SC,20,neg,2,20.885993265993264,0.7463367003367001,8.635589225589225
212,pureSCneg20,pure,SC,20,neg,3,20.33144781144781,0.7463367003367001,8.635589225589225
213,pureSCneg20,pure,SC,20,neg,4,18.18074074074074,0.7463367003367001,8.635589225589225
214,pureSCneg20,pure,SC,20,neg,5,14.64942760942761,0.7463367003367001,8.635589225589225
215,pureSCneg20,pure,SC,20,neg,6,14.036801346801347,0.7463367003367001,8.635589225589225
216,pureSCneg20,pure,SC,20,neg,7,13.947811447811448,0.7463367003367001,8.635589225589225
217,pureSCneg20,pure,SC,20,neg,8,10.81973063973064,0.7463367003367001,8.635589225589225
218,pureSCneg20,pure,SC,20,neg,9,8.918518518518518,0.7463367003367001,8.635589225589225
219,pureSCneg20,pure,SC,20,neg,10,5.480033670033669,0.7463367003367001,8.635589225589225
220,pureSCneg20,pure,SC,20,neg,11,4.011851851851852,0.7463367003367001,8.635589225589225
221,pureSCneg50,pure,SC,50,neg,-5,1.3510830527497188,0.35687429854096486,-0.9638866442199779
222,pureSCneg50,pure,SC,50,neg,-4,-0.6586139169472506,0.35687429854096486,-0.9638866442199779
223,pureSCneg50,pure,SC,50,neg,-3,0.8520931537598202,0.35687429854096486,-0.9638866442199779
224,pureSCneg50,pure,SC,50,neg,-2,-0.29097081930415286,0.35687429854096486,-0.9638866442199779
225,pureSCneg50,pure,SC,50,neg,-1,0.5307800224466886,0.35687429854096486,-0.9638866442199779
226,pureSCneg50,pure,SC,50,neg,0,48.65421436588103,0.35687429854096486,-0.9638866442199779
227,pureSCneg50,pure,SC,50,neg,1,51.17616722783389,0.35687429854096486,-0.9638866442199779
228,pureSCneg50,pure,SC,50,neg,2,24.075998877665544,0.35687429854096486,-0.9638866442199779
229,pureSCneg50,pure,SC,50,neg,3,5.066167227833895,0.35687429854096486,-0.9638866442199779
230,pureSCneg50,pure,SC,50,neg,4,1.8552581369248033,0.35687429854096486,-0.9638866442199779
231,pureSCneg50,pure,SC,50,neg,5,1.8197025813692482,0.35687429854096486,-0.9638866442199779
232,pureSCneg50,pure,SC,50,neg,6,1.6541133557800225,0.35687429854096486,-0.9638866442199779
233,pureSCneg50,pure,SC,50,neg,7,0.8932379349046012,0.35687429854096486,-0.9638866442199779
234,pureSCneg50,pure,SC,50,neg,8,0.2962345679012343,0.35687429854096486,-0.9638866442199779
235,pureSCneg50,pure,SC,50,neg,9,-1.5021156004489342,0.35687429854096486,-0.9638866442199779
236,pureSCneg50,pure,SC,50,neg,10,-0.900970819304153,0.35687429854096486,-0.9638866442199779
237,pureSCneg50,pure,SC,50,neg,11,-3.6058193041526376,0.35687429854096486,-0.9638866442199779
238,pureSCpos20,pure,SC,20,pos,-5,-0.3674084595959598,0.2584816919191918,-1.5667266414141416
239,pureSCpos20,pure,SC,20,pos,-4,1.2812657828282827,0.2584816919191918,-1.5667266414141416
240,pureSCpos20,pure,SC,20,pos,-3,0.5905460858585858,0.2584816919191918,-1.5667266414141416
241,pureSCpos20,pure,SC,20,pos,-2,0.7100536616161617,0.2584816919191918,-1.5667266414141416
242,pureSCpos20,pure,SC,20,pos,-1,-0.9220486111111114,0.2584816919191918,-1.5667266414141416
243,pureSCpos20,pure,SC,20,pos,0,-20.383885732323233,0.2584816919191918,-1.5667266414141416
244,pureSCpos20,pure,SC,20,pos,1,-19.60329861111111,0.2584816919191918,-1.5667266414141416
245,pureSCpos20,pure,SC,20,pos,2,-20.02990845959596,0.2584816919191918,-1.5667266414141416
246,pureSCpos20,pure,SC,20,pos,3,-14.84799558080808,0.2584816919191918,-1.5667266414141416
247,pureSCpos20,pure,SC,20,pos,4,-8.583885732323232,0.2584816919191918,-1.5667266414141416
248,pureSCpos20,pure,SC,20,pos,5,-4.784643308080808,0.2584816919191918,-1.5667266414141416
249,pureSCpos20,pure,SC,20,pos,6,-3.810779671717172,0.2584816919191918,-1.5667266414141416
250,pureSCpos20,pure,SC,20,pos,7,-0.6906092171717171,0.2584816919191918,-1.5667266414141416
251,pureSCpos20,pure,SC,20,pos,8,-3.6384311868686874,0.2584816919191918,-1.5667266414141416
252,pureSCpos20,pure,SC,20,pos,9,-1.4747001262626267,0.2584816919191918,-1.5667266414141416
253,pureSCpos20,pure,SC,20,pos,10,-0.8197758838383842,0.2584816919191918,-1.5667266414141416
254,pureSCpos20,pure,SC,20,pos,11,-1.210116792929293,0.2584816919191918,-1.5667266414141416
255,pureSCpos50,pure,SC,50,pos,-5,-0.7833152958152961,0.18036435786435745,8.164520202020203
256,pureSCpos50,pure,SC,50,pos,-4,0.38299062049062,0.18036435786435745,8.164520202020203
257,pureSCpos50,pure,SC,50,pos,-3,-1.8971320346320348,0.18036435786435745,8.164520202020203
258,pureSCpos50,pure,SC,50,pos,-2,1.1004509379509375,0.18036435786435745,8.164520202020203
259,pureSCpos50,pure,SC,50,pos,-1,2.098827561327561,0.18036435786435745,8.164520202020203
260,pureSCpos50,pure,SC,50,pos,0,-48.18818542568543,0.18036435786435745,8.164520202020203
261,pureSCpos50,pure,SC,50,pos,1,-43.97801226551227,0.18036435786435745,8.164520202020203
262,pureSCpos50,pure,SC,50,pos,2,-8.943308080808082,0.18036435786435745,8.164520202020203
263,pureSCpos50,pure,SC,50,pos,3,8.49926046176046,0.18036435786435745,8.164520202020203
264,pureSCpos50,pure,SC,50,pos,4,11.247745310245309,0.18036435786435745,8.164520202020203
265,pureSCpos50,pure,SC,50,pos,5,11.253805916305916,0.18036435786435745,8.164520202020203
266,pureSCpos50,pure,SC,50,pos,6,10.50398629148629,0.18036435786435745,8.164520202020203
267,pureSCpos50,pure,SC,50,pos,7,10.184000721500722,0.18036435786435745,8.164520202020203
268,pureSCpos50,pure,SC,50,pos,8,8.470472582972581,0.18036435786435745,8.164520202020203
269,pureSCpos50,pure,SC,50,pos,9,9.732124819624818,0.18036435786435745,8.164520202020203
270,pureSCpos50,pure,SC,50,pos,10,6.724476911976912,0.18036435786435745,8.164520202020203
271,pureSCpos50,pure,SC,50,pos,11,5.711525974025974,0.18036435786435745,8.164520202020203
