,a,b,c,d,alpha1,beta1,gamma1,delta1,eps1,dseta1,eta1,alpha2,beta2,gamma2,delta2,eps2,dseta2,eta2,dist,subpopulation,perturb_type_x_context,perturb_type_x_context_x_subpopulation
0,0.5051415248999254,0.0824374355647847,0.0427540197755957,-0.1807978570460409,0,0,0,0,0,0.0001777128585619,0,0.0007227908526327,0,0,0,0,0,0,64.31322877707987,0,PSSCpure,PSSCpure0
1,0.4502456734359166,0.3420734795302449,-0.0536999201469574,-0.3455871612929029,0,0,0,0,0,0.0001755559566378,0,0.0028066047315003,0,0,0,0,0,0,65.73992637099066,0,PSSCpure,PSSCpure0
2,0.552082090483351,-0.0313142644113861,-0.135797094068075,0.1284461005216175,0,0,0,0,0,0.0001920209651737,0,0.001279711596644,0,0,0,0,0,0,65.57788845913802,0,PSSCpure,PSSCpure0
3,0.4589366549384497,0.2149354723543632,-0.1262724638531547,-0.1779889148048798,0,0,0,0,0,0.0001919618578535,0,0.0004838512626812,0,0,0,0,0,0,62.67264382993133,0,PSSCpure,PSSCpure0
4,0.4586477798047736,0.1640806681353428,-0.1015505001504708,-0.1224608729454026,0,0,0,0,0,0.0001959809946989,0,-0.0033425245152853,0,0,0,0,0,0,63.540298539823375,0,PSSCpure,PSSCpure0
5,0.4992074972045555,0.1334920443937872,0.0408990066043681,-0.2406885692964984,0,0,0,0,0,0.0001940591796829,0,0.0011457470547465,0,0,0,0,0,0,62.3229048892491,0,PSSCpure,PSSCpure0
6,0.4975372983226314,0.3150023434749198,-0.2101657482503767,-0.0919249143258607,0,0,0,0,0,0.000188655550522,0,0.0013070860183951,0,0,0,0,0,0,64.34614980973397,0,PSSCpure,PSSCpure0
7,0.5366121990613615,0.2167801227860875,-0.0194750277190505,-0.096968908246497,0,0,0,0,0,0.0001665725007955,0,0.0013078897276945,0,0,0,0,0,0,64.39015534373861,0,PSSCpure,PSSCpure0
8,0.5032497588860343,0.1740845359012053,0.0768488639097944,-0.0949731243323308,0,0,0,0,0,0.0001852987212143,0,0.0030015811808418,0,0,0,0,0,0,63.26285404589289,0,PSSCpure,PSSCpure0
9,0.4777306185588692,0.2387718148270949,-0.0230277700203251,-0.08250362744491,0,0,0,0,0,0.0001940215651727,0,0.0037840060802615,0,0,0,0,0,0,62.92240729508536,0,PSSCpure,PSSCpure0
10,0.4091197024946496,0.2402946810105022,-0.0510567550168399,-0.2845721951900506,0,0,0,0,0,0.000178379484869,0,0.001695644768641,0,0,0,0,0,0,66.59611996641048,0,PSSCpure,PSSCpure0
11,0.5356235971255519,0.1645445742390148,-0.2791659998225806,-0.0100812824435942,0,0,0,0,0,0.0001783842632393,0,4.992930330226741e-05,0,0,0,0,0,0,64.28046116423438,0,PSSCpure,PSSCpure0
12,0.4458593671815101,0.2042096796380188,0.3077827242852153,-0.3281260903125158,0,0,0,0,0,0.0001738440110394,0,0.0031646972806075,0,0,0,0,0,0,65.51481745693943,0,PSSCpure,PSSCpure0
13,0.4880262882199666,0.055664734788809,-0.0049967217881206,-0.1024548149731274,0,0,0,0,0,0.000177971512594,0,0.0015574304009144,0,0,0,0,0,0,65.55374529872185,0,PSSCpure,PSSCpure0
14,0.5022358195972276,0.1885203522074974,-0.1211276036220105,0.1050323511791186,0,0,0,0,0,0.0001727170342777,0,0.0016803943650024,0,0,0,0,0,0,63.97015207225801,0,PSSCpure,PSSCpure0
15,0.4902821365116931,0.1225432375628474,-0.1130815583563056,0.2006135015351078,0,0,0,0,0,0.000194621304181,0,0.0004801007227764,0,0,0,0,0,0,63.07737177401311,0,PSSCpure,PSSCpure0
16,0.5457583284141094,0.1699769435169598,-0.2205111636983685,0.0461196962906305,0,0,0,0,0,0.0001744715523386,0,-0.0014134467437331,0,0,0,0,0,0,64.40943620351466,0,PSSCpure,PSSCpure0
17,0.455900384731605,0.1809701306310938,0.0722529167530776,0.0131453426294521,0,0,0,0,0,0.0001944612517418,0,0.0022419382046612,0,0,0,0,0,0,62.91555518239685,0,PSSCpure,PSSCpure0
18,0.4769011704918235,0.1066328757949253,0.1149698583671807,-0.1127387205585057,0,0,0,0,0,0.0001997433223289,0,0.0063703556750535,0,0,0,0,0,0,64.76894022842117,0,PSSCpure,PSSCpure0
